"No","Nama Produk","Nomor Izin Edar / Notifikasi","Kandungan Bahan Berbahaya/Dilarang","Produsen / Pendaftar","Nomor Surat Public Warning"
"1","""AILY Cake 2 in 1 Eye Shadow ""1""","-","Merah K3 (CI Pigment Red 53)","","KH.00.01.432.6147 (26/11/2008)"
"2","""KLIP 80""""S Day Cream""","-","Merkuri / raksa (Hg)","","HM.03.03.1.43.12.12.8256 (27/12/2012)"
"3","""KLIP 80""""S Night Cream""","-","Merkuri / raksa (Hg)","","HM.03.03.1.43.12.12.8256 (27/12/2012)"
"4","3CE - Slim Eyebrow Pencil (Chestnut Brown)","-","Senyawa antimon","-","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"5","3rd Series Yanko Fade Out Cream Day Cream","-","Merkuri / raksa (Hg)","Taiwan Biotech Co., Ltd., Taiwan","HM.01.1.4.01.20.02 (01/07/2020)"
"6","3rd Series Yanko Whitening Cream Night Cream","-","Asam Retinoat / Tretinoin","Taiwan Biotech Co., Ltd., Taiwan","HM.01.1.4.01.20.02 (01/07/2020)"
"7","5th Series Yanko Fade Out Cream Day Cream","-","Merkuri / raksa (Hg)","Taiwan Biotech Co., Ltd., Taiwan","HM.01.1.4.01.20.02 (01/07/2020)"
"8","5th Series Yanko Whitening Cream Night Cream","-","Asam Retinoat / Tretinoin","Taiwan Biotech Co., Ltd., Taiwan","HM.01.1.4.01.20.02 (01/07/2020)"
"9","7th Series Yanko Whitening Cream Day","-","Merkuri / raksa (Hg)","Taiwan Biotech Co., Ltd., Taiwan","HM.01.1.4.01.20.02 (01/07/2020)"
"10","7th Series Yanko Whitening Cream Night","-","Asam Retinoat / Tretinoin","Taiwan Biotech Co., Ltd., Taiwan","HM.01.1.4.01.20.02 (01/07/2020)"
"11","a DHA Beauty Care Day Cream","-","Merkuri / raksa (Hg)","PT. Kembang Hati, Jawa Barat","HM.04.01.1.23.12.11.10567 (27/12/2011)"
"12","a DHA Beauty Care Night Cream","-","Merkuri / raksa (Hg)","PT. Kembang Hati, Jawa Barat","HM.04.01.1.23.12.11.10567 (27/12/2011)"
"13","Acne Cream Malam, Dr. Nur Hidayat, SpKK","-","Asam Retinoat / Tretinoin","","HM.04.01.1.43.05.13.2690 (13/05/2013)"
"14","Acne Lotion Dr Nur Hidayat, SpKK","-","Resorsinol","","HM.04.01.1.43.05.13.2690 (13/05/2013)"
"15","Advance Hand Sanitizer","-","Metanol","Dibar Nutricional S. de R.L. de C.V.","HM.01.1.2.10.21.49 (13/10/2021)"
