english_name,indonesian_name,is_dangerous
Water,Water,False
Aqua,Aqua,False
Glycerin,Glycerin,False
Niacinamide,Niacinamide,False
Sodium Hyaluronate,Natrium Hyaluronate,False
Hyaluronic Acid,Hyaluronic Asam,False
Panthenol,Panthenol,False
Allantoin,Allantoin,False
Dimethicone,Dimethicone,False
Cyclopentasiloxane,Cyclopentasiloxane,False
Cyclohexasiloxane,Cyclohexasiloxane,False
Cetyl Alcohol,Cetyl Alkohol,False
Stearyl Alcohol,Stearyl Alkohol,False
Cetearyl Alcohol,Cetearyl Alkohol,False
Behenyl Alcohol,Behenyl Alkohol,False
Stearic Acid,Stearic Asam,False
Palmitic Acid,Palmitic Asam,False
Myristic Acid,Myristic Asam,False
Lauric Acid,Lauric Asam,False
Caprylic/Capric Triglyceride,Caprylic/Capric Triglyceride,False
Butylene Glycol,Butylene Glycol,False
Propylene Glycol,Propylene Glycol,False
Pentylene Glycol,Pentylene Glycol,False
Hexylene Glycol,Hexylene Glycol,False
Phenoxyethanol,Phenoxyethanol,False
Ethylhexylglycerin,Ethylhexylglycerin,False
Tocopherol,Tocopherol,False
Tocopheryl Acetate,Tocopheryl Acetate,False
Zinc Oxide,Zinc Oksida,False
Titanium Dioxide,Titanium Dioxide,False
Squalane,Squalane,False
Squalene,Squalene,False
Kaolin,Kaolin,False
Bentonite,Bentonite,False
Silica,Silica,False
Magnesium Stearate,Magnesium Stearate,False
Carbomer,Carbomer,False
Xanthan Gum,Xanthan Gum,False
Guar Gum,Guar Gum,False
Polysorbate 20,Polysorbate 20,False
Polysorbate 60,Polysorbate 60,False
Polysorbate 80,Polysorbate 80,False
Sorbitan Stearate,Sorbitan Stearate,False
Caprylyl Glycol,Caprylyl Glycol,False
Betaine,Betaine,False
Trehalose,Trehalose,False
Urea,Urea,False
Lactic Acid,Lactic Asam,False
Citric Acid,Citric Asam,False
Malic Acid,Malic Asam,False
Tartaric Acid,Tartaric Asam,False
Gluconolactone,Gluconolactone,False
Ascorbic Acid,Ascorbic Asam,False
Retinol,Retinol,False
Retinyl Palmitate,Retinyl Palmitate,False
Ceramide NP,Ceramide NP,False
Ceramide AP,Ceramide AP,False
Ceramide EOP,Ceramide EOP,False
Aloe Vera Extract,Aloe Vera Ekstrak,False
Green Tea Extract,Green Tea Ekstrak,False
Chamomile Extract,Chamomile Ekstrak,False
Calendula Extract,Calendula Ekstrak,False
Centella Asiatica Extract,Centella Asiatica Ekstrak,False
Licorice Root Extract,Licorice Root Ekstrak,False
Rose Extract,Rose Ekstrak,False
Lavender Extract,Lavender Ekstrak,False
Tea Tree Oil,Tea Tree Minyak,False
Argan Oil,Argan Minyak,False
Jojoba Oil,Jojoba Minyak,False
Sunflower Seed Oil,Sunflower Seed Minyak,False
Sweet Almond Oil,Sweet Almond Minyak,False
Coconut Oil,Coconut Minyak,False
Olive Oil,Olive Minyak,False
Shea Butter,Shea Butter,False
Cocoa Butter,Cocoa Butter,False
Calcium Palmitate,Kalsium Palmitate,False
Magnesium Laurate,Magnesium Laurate,False
Magnesium Phosphate,Magnesium Fosfat,False
Potassium Sulfate,Kalium Sulfat,False
Poly Lactate,Poly Lactate,False
Calcium Benzoate,Kalsium Benzoat,False
Hydroxy Glutamate,Hydroxy Glutamate,False
Hydroxy Benzoate,Hydroxy Benzoat,False
Magnesium Citrate Oil,Magnesium Sitrat Minyak,False
Butyl Silicate,Butyl Silicate,False
Potassium Lactate,Kalium Lactate,False
PPG Benzoate,PPG Benzoat,False
Sodium Glutamate,Natrium Glutamate,False
Calcium Glycol Solution,Kalsium Glycol Solution,False
PEG Glutamate,PEG Glutamate,False
Ethyl Palmitate,Ethyl Palmitate,False
Ethyl Stearate,Ethyl Stearate,False
Hydrogenated Sulfate,Hydrogenated Sulfat,False
Isopropyl Stearate,Isopropyl Stearate,False
PEG Palmitate,PEG Palmitate,False
Propyl Laurate,Propyl Laurate,False
Propyl Laurate,Propyl Laurate,False
Calcium Sulfate,Kalsium Sulfat,False
Isopropyl Carbonate,Isopropyl Karbonat,False
Calcium Stearate,Kalsium Stearate,False
Butyl Citrate Extract,Butyl Sitrat Ekstrak,False
Acrylate Silicate Blend,Acrylate Silicate Blend,False
Isopropyl Carbonate Derivative,Isopropyl Karbonat Derivative,False
Magnesium Lactate,Magnesium Lactate,False
PEG Sulfate,PEG Sulfat,False
Magnesium Citrate Compound,Magnesium Sitrat Compound,False
Sodium Oxide,Natrium Oksida,False
Hydrogenated Glutamate,Hydrogenated Glutamate,False
Calcium Phosphate,Kalsium Fosfat,False
Isopropyl Glycol,Isopropyl Glycol,False
Butyl Phosphate Copolymer,Butyl Fosfat Copolymer,False
Butyl Laurate,Butyl Laurate,False
Poly Stearate,Poly Stearate,False
Ethyl Oxide,Ethyl Oksida,False
Hydrogenated Citrate Copolymer,Hydrogenated Sitrat Copolymer,False
PEG Glycol Extract,PEG Glycol Ekstrak,False
PPG Sulfate,PPG Sulfat,False
Isopropyl Silicate,Isopropyl Silicate,False
Poly Lactate Blend,Poly Lactate Blend,False
Hydroxy Benzoate,Hydroxy Benzoat,False
Acrylate Palmitate Solution,Acrylate Palmitate Solution,False
Propyl Benzoate,Propyl Benzoat,False
Poly Laurate Copolymer,Poly Laurate Copolymer,False
Isopropyl Sulfate,Isopropyl Sulfat,False
Poly Stearate,Poly Stearate,False
Acrylate Oxide,Acrylate Oksida,False
Magnesium Palmitate,Magnesium Palmitate,False
Propyl Silicate,Propyl Silicate,False
Magnesium Palmitate Compound,Magnesium Palmitate Compound,False
PEG Oxide Compound,PEG Oksida Compound,False
Calcium Carbonate Solution,Kalsium Karbonat Solution,False
Calcium Citrate,Kalsium Sitrat,False
Acrylate Sulfate,Acrylate Sulfat,False
Propyl Oxide,Propyl Oksida,False
Ethyl Chloride,Ethyl Klorida,False
Potassium Laurate,Kalium Laurate,False
Poly Carbonate Compound,Poly Karbonat Compound,False
Acrylate Glycol,Acrylate Glycol,False
Sodium Sulfate Blend,Natrium Sulfat Blend,False
Propyl Stearate Solution,Propyl Stearate Solution,False
Butyl Chloride,Butyl Klorida,False
Poly Sulfate Compound,Poly Sulfat Compound,False
PEG Laurate Oil,PEG Laurate Minyak,False
Calcium Benzoate Solution,Kalsium Benzoat Solution,False
Potassium Silicate,Kalium Silicate,False
Acrylate Oxide,Acrylate Oksida,False
Ethyl Chloride,Ethyl Klorida,False
Propyl Carbonate Complex,Propyl Karbonat Complex,False
Magnesium Palmitate Derivative,Magnesium Palmitate Derivative,False
Isopropyl Palmitate,Isopropyl Palmitate,False
Calcium Lactate,Kalsium Lactate,False
PEG Oxide,PEG Oksida,False
Butyl Stearate,Butyl Stearate,False
Propyl Palmitate,Propyl Palmitate,False
Sodium Glutamate,Natrium Glutamate,False
Ethyl Phosphate,Ethyl Fosfat,False
Hydrogenated Stearate Complex,Hydrogenated Stearate Complex,False
Magnesium Oxide,Magnesium Oksida,False
Butyl Carbonate,Butyl Karbonat,False
PPG Oxide,PPG Oksida,False
Potassium Palmitate Compound,Kalium Palmitate Compound,False
Isopropyl Palmitate,Isopropyl Palmitate,False
Hydroxy Citrate,Hydroxy Sitrat,False
Ethyl Benzoate,Ethyl Benzoat,False
PEG Laurate Blend,PEG Laurate Blend,False
Sodium Lactate,Natrium Lactate,False
Poly Benzoate Solution,Poly Benzoat Solution,False
PEG Chloride,PEG Klorida,False
Sodium Oxide,Natrium Oksida,False
Magnesium Sulfate,Magnesium Sulfat,False
PEG Phosphate Oil,PEG Fosfat Minyak,False
Hydroxy Glutamate Compound,Hydroxy Glutamate Compound,False
Hydrogenated Sulfate,Hydrogenated Sulfat,False
Isopropyl Sulfate,Isopropyl Sulfat,False
PPG Glutamate,PPG Glutamate,False
PPG Benzoate,PPG Benzoat,False
Isopropyl Laurate Compound,Isopropyl Laurate Compound,False
Calcium Chloride,Kalsium Klorida,False
Magnesium Phosphate,Magnesium Fosfat,False
Magnesium Phosphate,Magnesium Fosfat,False
PPG Glutamate,PPG Glutamate,False
Butyl Phosphate,Butyl Fosfat,False
Butyl Sulfate,Butyl Sulfat,False
Hydrogenated Laurate,Hydrogenated Laurate,False
Calcium Benzoate,Kalsium Benzoat,False
Acrylate Benzoate,Acrylate Benzoat,False
Hydroxy Laurate,Hydroxy Laurate,False
Acrylate Silicate Copolymer,Acrylate Silicate Copolymer,False
Propyl Laurate Copolymer,Propyl Laurate Copolymer,False
Isopropyl Silicate,Isopropyl Silicate,False
Sodium Sulfate,Natrium Sulfat,False
Magnesium Oxide Complex,Magnesium Oksida Complex,False
Sodium Silicate Oil,Natrium Silicate Minyak,False
Hydroxy Glycol,Hydroxy Glycol,False
Hydrogenated Lactate Complex,Hydrogenated Lactate Complex,False
Propyl Phosphate Blend,Propyl Fosfat Blend,False
Hydrogenated Benzoate Extract,Hydrogenated Benzoat Ekstrak,False
PEG Laurate Derivative,PEG Laurate Derivative,False
Butyl Stearate,Butyl Stearate,False
Poly Silicate,Poly Silicate,False
PPG Palmitate Solution,PPG Palmitate Solution,False
Potassium Benzoate Extract,Kalium Benzoat Ekstrak,False
Poly Oxide,Poly Oksida,False
Magnesium Stearate,Magnesium Stearate,False
Poly Laurate Extract,Poly Laurate Ekstrak,False
Calcium Phosphate,Kalsium Fosfat,False
Propyl Citrate,Propyl Sitrat,False
Hydroxy Phosphate,Hydroxy Fosfat,False
Calcium Phosphate,Kalsium Fosfat,False
Ethyl Oxide,Ethyl Oksida,False
Propyl Chloride Solution,Propyl Klorida Solution,False
Poly Silicate,Poly Silicate,False
Acrylate Sulfate,Acrylate Sulfat,False
Butyl Sulfate,Butyl Sulfat,False
Potassium Citrate Oil,Kalium Sitrat Minyak,False
Sodium Stearate Oil,Natrium Stearate Minyak,False
Ethyl Oxide,Ethyl Oksida,False
Calcium Glutamate Compound,Kalsium Glutamate Compound,False
Isopropyl Sulfate Blend,Isopropyl Sulfat Blend,False
Propyl Palmitate,Propyl Palmitate,False
Calcium Sulfate,Kalsium Sulfat,False
Sodium Benzoate Extract,Natrium Benzoat Ekstrak,False
PEG Chloride,PEG Klorida,False
Potassium Lactate,Kalium Lactate,False
Acrylate Silicate Extract,Acrylate Silicate Ekstrak,False
Isopropyl Glutamate,Isopropyl Glutamate,False
Hydrogenated Chloride Copolymer,Hydrogenated Klorida Copolymer,False
Magnesium Sulfate,Magnesium Sulfat,False
Magnesium Phosphate Oil,Magnesium Fosfat Minyak,False
Potassium Glutamate,Kalium Glutamate,False
Sodium Citrate,Natrium Sitrat,False
Potassium Sulfate,Kalium Sulfat,False
Poly Glutamate,Poly Glutamate,False
Magnesium Glycol,Magnesium Glycol,False
PPG Glycol Complex,PPG Glycol Complex,False
Poly Citrate Extract,Poly Sitrat Ekstrak,False
Acrylate Palmitate,Acrylate Palmitate,False
Potassium Carbonate,Kalium Karbonat,False
Sodium Oxide Complex,Natrium Oksida Complex,False
Poly Chloride,Poly Klorida,False
Ethyl Palmitate Complex,Ethyl Palmitate Complex,False
Potassium Citrate,Kalium Sitrat,False
PPG Carbonate,PPG Karbonat,False
Propyl Carbonate Compound,Propyl Karbonat Compound,False
PPG Chloride Compound,PPG Klorida Compound,False
Sodium Lactate,Natrium Lactate,False
Hydrogenated Phosphate,Hydrogenated Fosfat,False
Calcium Glutamate Compound,Kalsium Glutamate Compound,False
Calcium Chloride Compound,Kalsium Klorida Compound,False
Acrylate Silicate,Acrylate Silicate,False
Hydroxy Palmitate,Hydroxy Palmitate,False
Hydrogenated Oxide,Hydrogenated Oksida,False
PEG Benzoate,PEG Benzoat,False
Calcium Benzoate Blend,Kalsium Benzoat Blend,False
Ethyl Benzoate Extract,Ethyl Benzoat Ekstrak,False
PPG Laurate,PPG Laurate,False
PPG Phosphate Blend,PPG Fosfat Blend,False
PPG Lactate,PPG Lactate,False
Hydroxy Stearate,Hydroxy Stearate,False
Ethyl Oxide,Ethyl Oksida,False
PPG Stearate,PPG Stearate,False
PPG Silicate,PPG Silicate,False
Magnesium Phosphate Complex,Magnesium Fosfat Complex,False
PEG Stearate,PEG Stearate,False
Potassium Stearate Blend,Kalium Stearate Blend,False
Propyl Palmitate,Propyl Palmitate,False
Magnesium Oxide,Magnesium Oksida,False
Calcium Phosphate,Kalsium Fosfat,False
Hydroxy Phosphate Extract,Hydroxy Fosfat Ekstrak,False
Hydrogenated Sulfate,Hydrogenated Sulfat,False
Potassium Chloride,Kalium Klorida,False
Calcium Chloride Compound,Kalsium Klorida Compound,False
Sodium Laurate Copolymer,Natrium Laurate Copolymer,False
Hydroxy Phosphate Copolymer,Hydroxy Fosfat Copolymer,False
Propyl Phosphate Oil,Propyl Fosfat Minyak,False
Potassium Glutamate,Kalium Glutamate,False
Ethyl Palmitate Solution,Ethyl Palmitate Solution,False
Hydrogenated Oxide,Hydrogenated Oksida,False
Butyl Laurate,Butyl Laurate,False
Poly Sulfate Derivative,Poly Sulfat Derivative,False
Magnesium Citrate,Magnesium Sitrat,False
PEG Oxide,PEG Oksida,False
Calcium Silicate,Kalsium Silicate,False
Poly Silicate Extract,Poly Silicate Ekstrak,False
Acrylate Silicate,Acrylate Silicate,False
Acrylate Citrate Complex,Acrylate Sitrat Complex,False
Magnesium Lactate,Magnesium Lactate,False
Potassium Citrate,Kalium Sitrat,False
Hydrogenated Silicate,Hydrogenated Silicate,False
Isopropyl Benzoate,Isopropyl Benzoat,False
PPG Chloride Copolymer,PPG Klorida Copolymer,False
Magnesium Lactate,Magnesium Lactate,False
Butyl Sulfate,Butyl Sulfat,False
Acrylate Glutamate,Acrylate Glutamate,False
Acrylate Citrate,Acrylate Sitrat,False
Isopropyl Lactate,Isopropyl Lactate,False
Propyl Glutamate Copolymer,Propyl Glutamate Copolymer,False
Butyl Glycol,Butyl Glycol,False
PEG Stearate,PEG Stearate,False
Poly Lactate Oil,Poly Lactate Minyak,False
Propyl Lactate,Propyl Lactate,False
Hydroxy Lactate Copolymer,Hydroxy Lactate Copolymer,False
